startup;avaliacao;processado;neutro;positivo;negativo;misto
99;Certamente o pior lugar que já trabalhei na vida. Em pouco mais de 10 meses tive 7 gestores e passei por 3 áreas. E eu nao era o único, via isso acontecendo com todos a minha volta. Impressionante a quantidade de funcionários que entraram e ficaram menos de 4 ou 5 meses.;False;;;;
99;Péssimo. Acho que a pior parte é a hipocrisia. Damos bolinho de sexta com cerveja, somos cool, mas vc trabalha que nem cachorro de forma desorganizada e desestruturada sem planejamento, sem gerenciamento de pessoas. Todo mundo é chefe, head, gerente, pq é o jeito de trazer gente boa pra empresa. Dando cargos altos com salário ok e sem nenhum benefício. Povo metido. Não tem hora-extra, nem se bate ponto. Se faz muito retrabalho pq estão todos exaustos e desalinhados. Não tem tempo de aprender. Horrível...;False;;;;
99;Desorganizada, com problemas sérios de gestão, RH péssimo, muita promessa e pouco comprometimento. Agora está ficando cada vez pior, após a venda para a Didi (chinesa).;False;;;;
99;"A 99 já foi uma startup decente, refletindo os valores e visão dos fundadores. Mas atualmente por ser obcecada em ganhar da Uber, adota práticas tão antiéticas quanto a Uber, seja com os usuários motoristas e passageiros ou com os funcionários. Com a aquisição pela Didi e com o completo desconhecimento dos chineses em relação ao Brasil, a empresa está totalmente desorganizada, sem valores, sem um norte a não ser imitar a Uber. Quase 1/3 da parte brasileira da empresa - amigos pessoais do CEO norte-americano - é head, diretor, manager, lead ou outro cargo de pose para impressionar no LinkedIn ou na mídia, mas não sabe liderar, gerir ou direcionar, está fora da realidade do dia a dia e ainda é pau mandado de heads, diretores e gerentes chineses que estão longe da realidade brasileira, mas que reforçam a obsessão em ganhar ou imitar a Uber, deixando para trás qualquer valor ou moral. A 99 é gerida pela Didi (talvez a palavra certa fosse ""submissa"") em um esquema quase ditatorial e o 1/3 de brasileiros que ainda acham que mandam em algo só tem um papel de fachada hipócrita diante dos outros brasileiros. A rotatividade é impressionante pela incrível desorganização da empresa e pela imposição da cultura chinesa nas práticas de trabalho dos brasileiros. A 99 já teve um potencial enorme, mas ao comprar a briga com um monstro como a Uber, vendeu a alma e está se tornando monstruosa. De resto, o clima entre os funcionários brasileiros do mesmo level é solidário e amistoso, com todos entendendo o sufoco uns dos outros. Parece que os funcionários estão somente esperando e acumulando provas para entrar com um processo trabalhista por assédio moral, horas extras não remuneradas, entre outras práticas importadas da China.";False;;;;
99;Antes a 99 era incrível, desenvolvíamos tecnologia. Hoje o aplicativo é um WhiteLabel desenvolvido pelos chineses e os brasileiros de mobile que ainda estão lá (e logo devem sair) são apenas fantoches.;False;;;;
18moons;É o cliente deitando e rolando o tempo todo em cima da equipe, a equipe ralando como se não houvesse amanhã e os responsáveis administrativos enrolando meses para pagar os funcionários dizendo mentiras que cliente X ou Y ainda não pagou e não há dinheiro no caixa. É não conseguir ser ouvida numa reunião pois se é a única mulher na empresa. ;False;;;;
1Doc;"Um dos founders acredita que ""mulher bonita vende mais"". Nunca vi ambiente mais machista.";False;;;;
4all;No início era maravilhosa, um time ótimo, energia cativante e aprendizado contínuo. Infelizmente, em algum momento, muitos cargos de gerência da empresa foram tomados por pessoas que, ou tem a cabeça muito antiga para o ambiente de startup e nao conseguem se renovar, ou querem ganhar poder/relevância a qualquer custo, passando por cima dos valores e pessoas que eram os únicos pontos positivos que ainda restavam. Falta FOCO na estratégia de mercado, querem tudo e acabam não fazendo nada direito. O crescimento desenfreado do numero de funcionários no inicio trouxe muitos problemas e, recentemente, a demissão em massa de quase 40 pessoas no mesmo dia deixou evidente a falta de organização e transparência com o funcionário. Depois desse dia ficou um clima fúnebre na empresa, os funcionários que ficaram, ou fecham com a panelinha e estao tranquilos ou estão temendo pelos seus empregos. A politicagem é a chave para o sucesso dentro da empresa, nao importa o seu conhecimento ou experiência profissional, se vc puxar o saco certo, terá sucesso lá dentro. As pessoas boas sao o que fazem a empresa ainda ter esperança, mas as ruins a afundam diariamente. Fora todos esses problemas, o salário é bem abaixo da média do mercado.;False;;;;
4all;"A estrutura e ambiente (localização, salas, maquinas, mesas, cozinha, cadeiras) sempre foi muito boa, disso realmente não tinha como reclamar. 

Quando entrei, a empresa ja dava indícios de que alguma coisa (muito boa ou muito ruim) ia acontecer, mas mesmo assim ainda era uma época boa pra se trabalhar, havia muita possibilidade de aprendizado e as pessoas realmente vestiam a camisa para fazer algo que fizesse a diferença. Porém aos poucos alguns processos foram mudando, MUITA (MUITA MESMO) gente foi contratada num curto período de tempo ""inflando"" as equipes. Muitas pessoas com mindset antigo foram colocadas em cargos de liderança. Começou-se a disparar para todos os lados sem focar em algum produto que realmente desse retorno e sem prazos para que esses produtos fossem desenvolvidos com uma qualidade aceitável, resultando em uma experiência precária para o usuário final. Funcionários eram constantemente ""forçados"" a trabalhar aos sábados (se não fosse o chefe olhava de cara feia na segunda) para atender demandas apesar da carga horária semanal já ser alta.

Em 2017 tiveram que pagar o preço do crescimento desenfreado e mal planejado, resultando na demissão de cerca de 40 pessoas em 1 único dia. E o pior é que: muitas dessas pessoas haviam aberto mão de seus empregos para trabalhar lá, algumas delas recém haviam passado pelo contrato de experiência.

Nas redes sociais, até hoje ainda vendem a empresa como o local dos sonhos de qualquer profissional, uma startup ""inovadora e que não está no START"", mas que no final não passa de uma empresa antiga disfarçada de startup.";False;;;;
4YOU2 idiomas ;"Benefícios praticamente inexistentes, CEO dá bastante espaço para ouvir os funcionários porém no fim o que conta é a vontade dele e/ou de poucos (mais antigos e com maior poder de influência) já que existe uma clara panelinha de segregação com funcionários mais novos e que não fazem parte do ""círculo de amizades"" dos mais antigos, e estes acabam mandando embora e admitindo quem querem. Ambiente toxico, apesar do belo coworking. Pessoas que vivem de picuinhas e fofocas e desmotivam os demais, que acabam deixando a empresa em menos de um ano, ou seja: desperdício de talentos. Muito ego, muita palestra, muita hora extra que não é remunerada e nem cai em banco de horas (só se vc implorar pra tirar um dia de folga e anotar todas as horas extras que faz). ";False;;;;
4YOU2 idiomas ;"Há muita desorganização em relação a processos e procedimentos, pois o ambiente exige que o profissional atue com margem pequena de tempo para maturar qualquer ideia implementada, ou seja, é tudo ""pra ontem"". A parte boa é que todos têm oportunidade de contribuir de forma gigantesca para o negócio crescer cada vez mais - não é exclusividade do CEO.";False;;;;
